timestamp,rss,vms,page_faults,major_faults,minor_faults,swap,cpu_percent
0.008316278457641602,1283.109375,10468.046875,0,0,0,0,0.0
0.11757254600524902,1285.015625,10470.046875,0,0,0,0,100.7
0.23633551597595215,1285.015625,10470.046875,0,0,0,0,92.6
0.3441348075866699,1285.015625,10470.046875,0,0,0,0,102.0
0.45498180389404297,1285.015625,10470.046875,0,0,0,0,108.2
0.5628683567047119,1285.015625,10470.046875,0,0,0,0,92.7
0.6821179389953613,1431.37109375,10615.53125,0,0,0,0,100.6
0.7977972030639648,1431.39453125,10616.53515625,0,0,0,0,95.1
0.9086723327636719,1431.39453125,10616.53515625,0,0,0,0,99.2
1.0173327922821045,1431.39453125,10616.53515625,0,0,0,0,101.2
1.125171422958374,1431.39453125,10616.53515625,0,0,0,0,102.0
1.2360780239105225,1431.39453125,10616.53515625,0,0,0,0,99.2
1.3439326286315918,1431.39453125,10616.53515625,0,0,0,0,102.0
1.4529976844787598,1506.88671875,10691.12890625,0,0,0,0,91.7
1.5618748664855957,1507.0625,10691.12890625,0,0,0,0,101.0
